resume_text,jd_text,years_exp,semantic_similarity,numeric_score,detailed_ai_suggestion,,,,,,
"Biotech researcher with 4 years of wet lab experience in CRISPR, gene editing, and PCR techniques. Published in peer-reviewed journals.",Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,4,0.9,90,"Strong fit (Score: 90%, Similarity: 0.9). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Full-stack developer with 2 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.",Customer support executive with 2+ years of experience in chat/ticket support and CRM tools like Freshdesk is required.,2,0.79,79,"Good fit (Score: 79%, Similarity: 0.79). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"AI prompt engineer with 1 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",1,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Graphic designer with 5 years’ experience in Adobe Creative Suite, branding, and visual storytelling for marketing teams.","Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",5,0.86,86,"Strong fit (Score: 86%, Similarity: 0.86). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Blockchain developer with 9 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.",Customer support executive with 2+ years of experience in chat/ticket support and CRM tools like Freshdesk is required.,9,0.91,91,"Strong fit (Score: 91%, Similarity: 0.91). With 9 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"AI researcher with 4 years of hands-on research in LLMs, transformers, and reinforcement learning. Published in IEEE and arXiv.","Looking for a business analyst experienced in Agile teams, wireframing, and stakeholder communication. 2+ years required.",4,0.77,77,"Good fit (Score: 77%, Similarity: 0.77). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"ETL developer with 4 years of experience using SSIS, Informatica, and SQL for large-scale data warehouse pipelines.","Seeking a cybersecurity analyst with 3+ years of experience in threat analysis, SIEM tools, and incident response protocols.",4,0.76,76,"Good fit (Score: 76%, Similarity: 0.76). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Marketing analyst with 6 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",6,0.91,91,"Strong fit (Score: 91%, Similarity: 0.91). With 6 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Full-stack developer with 9 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.",Looking for a biotech research assistant skilled in CRISPR and PCR techniques. Publication experience preferred.,9,0.86,86,"Strong fit (Score: 86%, Similarity: 0.86). With 9 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Cybersecurity analyst with 6 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",6,0.94,94,"Strong fit (Score: 94%, Similarity: 0.94). With 6 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Machine Learning engineer with 4 years of experience, including TensorFlow, scikit-learn, and deploying models using Flask. Worked on NLP and forecasting.","Seeking a cybersecurity analyst with 3+ years of experience in threat analysis, SIEM tools, and incident response protocols.",4,0.92,92,"Strong fit (Score: 92%, Similarity: 0.92). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"UI/UX designer with 7 years’ experience in Figma, mobile-first design, prototyping. Limited user research experience.","Looking for a business analyst experienced in Agile teams, wireframing, and stakeholder communication. 2+ years required.",7,0.88,88,"Strong fit (Score: 88%, Similarity: 0.88). With 7 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"UI/UX designer with 5 years’ experience in Figma, mobile-first design, prototyping. Limited user research experience.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",5,0.91,91,"Strong fit (Score: 91%, Similarity: 0.91). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Full-stack developer with 6 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.",Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,6,0.76,76,"Good fit (Score: 76%, Similarity: 0.76). With 6 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
Game developer with 2 years' experience in Unity and C#. Built multiplayer features and integrated ads and in-app purchases.,"Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",2,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Marketing analyst with 7 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",7,0.75,75,"Good fit (Score: 75%, Similarity: 0.75). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"System administrator with 1 years of Linux and Windows server management. Skilled in shell scripting, Active Directory, and patching.","Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",1,0.65,65,"Low fit (Score: 65%, Similarity: 0.65). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"AI prompt engineer with 8 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","Looking for a business analyst experienced in Agile teams, wireframing, and stakeholder communication. 2+ years required.",8,0.65,65,"Low fit (Score: 65%, Similarity: 0.65). With 8 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Marketing analyst with 10 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",10,0.79,79,"Good fit (Score: 79%, Similarity: 0.79). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Full-stack developer with 1 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,1,0.95,95,"Strong fit (Score: 95%, Similarity: 0.95). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Video editor with 9 years of experience in Adobe Premiere, DaVinci Resolve, and After Effects. Worked on YouTube content and short films.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",9,0.81,81,"Good fit (Score: 81%, Similarity: 0.81). With 9 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Technical writer with 7 years of experience in documentation for APIs, SDKs, and cloud services. Familiar with Markdown, Git, and Confluence.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,7,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Data engineer with 4 years of experience in building ETL pipelines using Airflow, Python, and Spark. Worked on distributed systems and optimized data warehousing.",Looking for a biotech research assistant skilled in CRISPR and PCR techniques. Publication experience preferred.,4,0.86,86,"Strong fit (Score: 86%, Similarity: 0.86). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Video editor with 4 years of experience in Adobe Premiere, DaVinci Resolve, and After Effects. Worked on YouTube content and short films.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",4,0.67,67,"Low fit (Score: 67%, Similarity: 0.67). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
Data analyst with 3 years’ experience using Excel and Power BI. Built dashboards and performed reporting. Limited SQL exposure.,"Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",3,0.66,66,"Low fit (Score: 66%, Similarity: 0.66). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Graphic designer with 5 years’ experience in Adobe Creative Suite, branding, and visual storytelling for marketing teams.",Customer support executive with 2+ years of experience in chat/ticket support and CRM tools like Freshdesk is required.,5,0.87,87,"Strong fit (Score: 87%, Similarity: 0.87). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Cybersecurity analyst with 2 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.","Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",2,0.73,73,"Moderate fit (Score: 73%, Similarity: 0.73). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Blockchain developer with 8 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.",Looking for a biotech research assistant skilled in CRISPR and PCR techniques. Publication experience preferred.,8,0.84,84,"Good fit (Score: 84%, Similarity: 0.84). With 8 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Full-stack developer with 3 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",3,0.9,90,"Strong fit (Score: 90%, Similarity: 0.9). With 3 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Machine Learning engineer with 10 years of experience, including TensorFlow, scikit-learn, and deploying models using Flask. Worked on NLP and forecasting.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",10,0.93,93,"Strong fit (Score: 93%, Similarity: 0.93). With 10 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Blockchain developer with 2 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,2,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"DevOps engineer with 1 years' experience in AWS, Docker, Jenkins. Familiar with CI/CD and scripting. No Kubernetes experience.","Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",1,0.88,88,"Strong fit (Score: 88%, Similarity: 0.88). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Technical writer with 2 years of experience in documentation for APIs, SDKs, and cloud services. Familiar with Markdown, Git, and Confluence.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",2,0.89,89,"Strong fit (Score: 89%, Similarity: 0.89). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Cybersecurity analyst with 2 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.","DevOps engineer with 3+ years' experience. Required: AWS, Docker, CI/CD, Bash, Kubernetes.",2,0.82,82,"Good fit (Score: 82%, Similarity: 0.82). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"QA engineer with 2 years’ experience in manual and automated testing using Selenium, Postman, and JUnit. Experience in writing test plans and bug tracking.","Seeking a cybersecurity analyst with 3+ years of experience in threat analysis, SIEM tools, and incident response protocols.",2,0.73,73,"Moderate fit (Score: 73%, Similarity: 0.73). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
Data analyst with 4 years’ experience using Excel and Power BI. Built dashboards and performed reporting. Limited SQL exposure.,Looking for a biotech research assistant skilled in CRISPR and PCR techniques. Publication experience preferred.,4,0.88,88,"Strong fit (Score: 88%, Similarity: 0.88). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"DevSecOps specialist with 1 years of experience implementing security policies in CI/CD pipelines. Hands-on with SonarQube, Vault, and AWS IAM.",Technical writer with 3+ years of experience documenting complex APIs and developer guides. Git and Markdown required.,1,0.89,89,"Strong fit (Score: 89%, Similarity: 0.89). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Data engineer with 4 years of experience in building ETL pipelines using Airflow, Python, and Spark. Worked on distributed systems and optimized data warehousing.",Technical writer with 3+ years of experience documenting complex APIs and developer guides. Git and Markdown required.,4,0.93,93,"Strong fit (Score: 93%, Similarity: 0.93). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Full-stack developer with 5 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",5,0.84,84,"Good fit (Score: 84%, Similarity: 0.84). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"DevOps engineer with 8 years' experience in AWS, Docker, Jenkins. Familiar with CI/CD and scripting. No Kubernetes experience.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",8,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 8 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"DevOps engineer with 6 years' experience in AWS, Docker, Jenkins. Familiar with CI/CD and scripting. No Kubernetes experience.",Hiring ETL developer with SQL expertise and experience in Informatica or SSIS. Must have worked with large datasets.,6,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 6 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"DevSecOps specialist with 1 years of experience implementing security policies in CI/CD pipelines. Hands-on with SonarQube, Vault, and AWS IAM.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,1,0.82,82,"Good fit (Score: 82%, Similarity: 0.82). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Business analyst with 3 years of experience in requirement gathering, stakeholder communication, and JIRA. Strong in Agile methodology and wireframing.",Hiring ETL developer with SQL expertise and experience in Informatica or SSIS. Must have worked with large datasets.,3,0.77,77,"Good fit (Score: 77%, Similarity: 0.77). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
